X,Y,num,NAME,falla
391822.45059354784,7082755.918506751,105,CHN_CT01_V01_DJI_0291,Tipo V - ModuloCortoCircuito
391818.4620791781,7082755.726091893,106,CHN_CT01_V01_DJI_0291,Tipo VI - CelulaCaliente
391817.5288350646,7082762.29573436,107,CHN_CT01_V01_DJI_0293,Tipo V - ModuloCortoCircuito
391822.13293074246,7082755.79861483,108,CHN_CT01_V01_DJI_0293,Tipo V - ModuloCortoCircuito
391818.10034996783,7082755.733467838,109,CHN_CT01_V01_DJI_0293,Tipo VI - CelulaCaliente
391817.652498974,7082761.996987957,110,CHN_CT01_V01_DJI_0295,Tipo V - ModuloCortoCircuito
391822.26457570435,7082773.769249079,111,CHN_CT01_V01_DJI_0295,Tipo IV - BusBar
391811.09557482705,7082769.638025848,112,CHN_CT01_V01_DJI_0295,Tipo VI - CelulaCaliente
391813.0673261982,7082776.229032307,113,CHN_CT01_V01_DJI_0297,Tipo VI - CelulaCaliente
391811.02229893924,7082771.155283531,114,CHN_CT01_V01_DJI_0297,Tipo VI - CelulaCaliente
391822.13411594514,7082775.068284859,115,CHN_CT01_V01_DJI_0297,Tipo IV - BusBar
391822.67311571195,7082787.059432032,116,CHN_CT01_V01_DJI_0299,Tipo IV - BusBar
391817.4838315164,7082782.336844931,117,CHN_CT01_V01_DJI_0299,Tipo V - ModuloCortoCircuito
391813.00604367035,7082776.31288898,118,CHN_CT01_V01_DJI_0299,Tipo VI - CelulaCaliente
391810.9393318085,7082771.013690982,119,CHN_CT01_V01_DJI_0299,Tipo VI - CelulaCaliente
391822.0489672323,7082774.67030467,120,CHN_CT01_V01_DJI_0299,Tipo IV - BusBar
391817.45194802317,7082782.69334333,121,CHN_CT01_V01_DJI_0301,Tipo V - ModuloCortoCircuito
391822.54239956907,7082787.127664728,122,CHN_CT01_V01_DJI_0301,Tipo IV - BusBar
391817.51460922905,7082783.859308207,123,CHN_CT01_V01_DJI_0303,Tipo V - ModuloCortoCircuito
391822.60730248265,7082788.070243127,124,CHN_CT01_V01_DJI_0303,Tipo IV - BusBar
391811.57365768985,7082805.261639367,125,CHN_CT01_V01_DJI_0305,Tipo VI - CelulaCaliente
391817.51422236057,7082806.342286785,126,CHN_CT01_V01_DJI_0305,Tipo V - ModuloCortoCircuito
391817.4743835268,7082806.78126115,127,CHN_CT01_V01_DJI_0307,Tipo V - ModuloCortoCircuito
391823.94120918977,7082808.69737131,128,CHN_CT01_V01_DJI_0307,Tipo V - ModuloCortoCircuito
391811.5843653028,7082805.778850159,129,CHN_CT01_V01_DJI_0307,Tipo VI - CelulaCaliente
391811.49401256803,7082806.712236636,130,CHN_CT01_V01_DJI_0309,Tipo VI - CelulaCaliente
391817.3331029266,7082807.635951127,131,CHN_CT01_V01_DJI_0309,Tipo V - ModuloCortoCircuito
391823.7996678769,7082809.442009073,132,CHN_CT01_V01_DJI_0309,Tipo V - ModuloCortoCircuito
391817.69482316944,7082808.456763267,133,CHN_CT01_V01_DJI_0309,Tipo VI - CelulaCaliente
391811.5332980566,7082848.870616763,134,CHN_CT01_V01_DJI_0317,Tipo VI - CelulaCaliente
391817.9118664014,7082849.791035577,135,CHN_CT01_V01_DJI_0317,Tipo VI - CelulaCaliente
391812.21542180155,7082853.706169043,136,CHN_CT01_V01_DJI_0319,Tipo V - ModuloCortoCircuito
391817.72620736784,7082850.96879567,137,CHN_CT01_V01_DJI_0319,Tipo VI - CelulaCaliente
